Country,gender,Language,Country of birth,Age,Part-time,Education,income,Sector,weighted index,weighted index rank
Norway,0.9,0.77,0.06,0.71,0.59,0.33,0.97,0.81,0.67,1
New Zealand,0.7,0.12,0.21,0.76,0.61,0.7,0.61,0.95,0.63,2
Iceland,0.84,0.02,0.04,0.99,0.33,0.46,0.8,0.87,0.62,3
Australia,0.63,0.15,0.25,0.67,0.65,0.62,0.78,1,0.61,4
Switzerland,0.63,0.64,0.26,0.64,0.68,0.3,0.79,0.87,0.6,5
Netherlands,0.72,0.46,0.04,0.55,1,0.38,0.87,0.76,0.6,6
Canada,0.66,0.65,0.02,0.66,0.42,0.47,0.73,0.96,0.6,7
Philippines,0.56,1,0.05,0.86,0.73,0.57,0.39,0.4,0.59,8
United States,0.6,0.41,0.15,0.7,0.22,0.65,0.36,0.91,0.57,9
Sweden,0.88,0.19,0.05,0.55,0.27,0.45,0.94,0.8,0.56,10
Israel,0.58,0.78,0.03,0.55,0.5,0.47,0.53,0.82,0.56,11
Argentina,0.61,0.25,0.08,0.76,0.58,0.21,0.34,0.87,0.54,12
Denmark,0.79,0.06,0.05,0.53,0.5,0.38,0.88,0.79,0.53,13
Latvia,0.67,0.7,0.17,0.37,0.24,0.34,0.58,0.85,0.53,14
Singapore,0.56,0.88,0.35,0.52,0.19,0.35,0.28,0.7,0.53,15
Estonia,0.59,0.56,0.19,0.37,0.25,0.47,0.75,0.9,0.51,16
United Kingdom,0.57,0.16,0.09,0.56,0.59,0.48,0.72,0.82,0.51,17
Ireland,0.51,0.26,0.16,0.56,0.37,0.5,0.83,0.95,0.51,18
Finland,0.79,0.16,0.02,0.42,0.27,0.31,0.91,0.84,0.5,19
Austria,0.6,0.63,0.12,0.38,0.32,0.22,0.91,0.91,0.5,20
Spain,0.59,0.51,0.16,0.36,0.18,0.41,0.72,0.9,0.49,21
Indonesia,0.43,1,0,1,0.45,0.27,0.59,0.24,0.49,22
Germany,0.63,0.22,0.1,0.38,0.59,0.3,0.88,0.8,0.49,23
Belgium,0.59,0.86,0.09,0.05,0.35,0.51,0.89,0.79,0.49,24
Thailand,0.59,0.89,0.04,0.72,0.31,0.42,0.42,0.22,0.48,25
United Arab Emirates,0.18,0.91,1,0.69,0.01,0.34,0.47,0.65,0.48,26
Cyprus,0.51,0.43,0.2,0.4,0.22,0.44,0.84,0.91,0.48,27
Lithuania,0.59,0.4,0,0.22,0.41,0.5,0.63,0.85,0.47,28
Mexico,0.47,0.16,0,0.87,0.29,0.37,0.17,0.75,0.46,29
Brazil,0.47,0.03,0,0.9,0.43,0.27,0,0.67,0.45,30
Russian Federation,0.55,0.33,0.04,0.35,0.28,0.22,0.44,0.94,0.45,31
Luxembourg,0.49,0.59,0.55,0.11,0.14,0.29,0.81,0.83,0.45,32
Macedonia,0.57,0.67,0.08,0.31,0.14,0.25,0.42,0.76,0.44,33
"Korea, Republic of",0.44,0,0.03,0.61,0.18,0.57,0.75,0.88,0.43,34
China,0.56,0.58,0,0.67,0.48,0.18,0.46,0.24,0.43,35
Portugal,0.58,0.02,0.05,0.45,0.19,0.29,0.64,0.81,0.42,36
Japan,0.41,0.03,0.01,0.53,0.25,0.65,0.57,0.7,0.4,37
France,0.56,0.32,0.06,0.11,0.23,0.26,0.8,0.86,0.4,38
Romania,0.55,0.2,0,0.38,0.41,0.24,0.65,0.6,0.4,39
Chile,0.35,0.04,0.02,0.66,0.21,0.29,0.15,0.88,0.39,40
Italy,0.42,0.7,0.09,0.12,0.21,0.25,0.75,0.83,0.39,41
Greece,0.43,0.2,0.11,0.2,0.09,0.58,0.7,0.87,0.39,42
Slovenia,0.53,0.2,0.01,0.18,0.1,0.34,1,0.84,0.38,43
Bulgaria,0.57,0.26,0,0.17,0.06,0.32,0.69,0.78,0.38,44
Slovakia,0.61,0.36,0,0.14,0,0.24,0.94,0.72,0.37,45
Poland,0.53,0.07,0,0.13,0.16,0.4,0.75,0.84,0.37,46
Pakistan,0.15,0.9,0.03,0.98,0.28,0.29,0.77,0,0.34,47
Hungary,0.49,0.18,0.01,0,0,0.36,0.94,0.84,0.33,48
Turkey,0.19,0.34,0.03,0.64,0.13,0.29,0.48,0.56,0.32,49
Czech Republic,0.47,0.08,0.02,0.18,0.03,0.12,0.93,0.71,0.3,50
